"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"KC","SD","KC","SD",NA,"east","west",NA,"SD_KC_2014"
"MIA","NYJ","NYJ","MIA",NA,"west","east",NA,"NYJ_MIA_2014"
"MIN","CHI","MIN","CHI",NA,"west",NA,NA,"CHI_MIN_2014"
"NE","BUF","NE","BUF",NA,"north","north",NA,"BUF_NE_2014"
"NYG","PHI","PHI","NYG",NA,"south","north",NA,"PHI_NYG_2014"
"PIT","CIN","CIN","PIT",NA,"south","north",NA,"CIN_PIT_2014"
"TB","NO","NO","TB",NA,"south","south",NA,"NO_TB_2014"
"TEN","IND","IND","TEN",NA,"north","north",NA,"IND_TEN_2014"
"WAS","DAL","WAS","DAL",NA,"east","west",NA,"DAL_WAS_2014"
"DEN","OAK","DEN","OAK",NA,"north","south",NA,"OAK_DEN_2014"
"SF","ARZ","SF","ARZ",NA,"north","south",NA,"ARZ_SF_2014"
"SEA","SL","SEA","SL",NA,"north","south",NA,"SL_SEA_2014"
