"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","file_name","game_id"
"IND","PIT","PIT","IND",NA,"south","south",NA,"57064_IND_Gamebook_2016.pdf","PIT_IND_2016"
"ATL","ARZ","ATL","ARZ",NA,"east","west",NA,"57065_ATL_Gamebook_2016.pdf","ARZ_ATL_2016"
"BLT","CIN","CIN","BLT",NA,"east","east",NA,"57066_BAL_Gamebook_2016.pdf","CIN_BLT_2016"
"BUF","JAX","BUF","JAX",NA,"west","east",NA,"57067_BUF_Gamebook_2016.pdf","JAX_BUF_2016"
"CHI","TEN","TEN","CHI",NA,"north","north",NA,"57068_CHI_Gamebook_2016.pdf","TEN_CHI_2016"
"CLV","NYG","CLV","NYG",NA,"east","east",NA,"57069_CLE_Gamebook_2016.pdf","NYG_CLV_2016"
"HST","SD","HST","SD",NA,"south","north",NA,"57070_HOU_Gamebook_2016.pdf","SD_HST_2016"
"MIA","SF","SF","MIA",NA,"east",NA,NA,"57071_MIA_Gamebook_2016.pdf","SF_MIA_2016"
"NO","LA","NO","LA",NA,"south","south",NA,"57072_NO_Gamebook_2016.pdf","LA_NO_2016"
"TB","SEA","SEA","TB",NA,"south","south",NA,"57073_TB_Gamebook_2016.pdf","SEA_TB_2016"
"DEN","KC","KC","DEN","KC",NA,"north","north","57074_DEN_Gamebook_2016.pdf","KC_DEN_2016"
"OAK","CAR","OAK","CAR",NA,"south",NA,NA,"57075_OAK_Gamebook_2016.pdf","CAR_OAK_2016"
"NYJ","NE","NYJ","NE",NA,"east","west",NA,"57076_NYJ_Gamebook_2016.pdf","NE_NYJ_2016"
"PHI","GB","PHI","GB",NA,"north","south",NA,"57077_PHI_Gamebook_2016.pdf","GB_PHI_2016"
"MIN","DAL","MIN","DAL",NA,"east",NA,NA,"57078_MIN_Gamebook_2016.pdf","DAL_MIN_2016"
"ATL","KC","KC","ATL",NA,"west","east",NA,"57079_ATL_Gamebook_2016.pdf","KC_ATL_2016"
"BLT","MIA","MIA","BLT",NA,"west","west",NA,"57080_BAL_Gamebook_2016.pdf","MIA_BLT_2016"
"CHI","SF","CHI","SF",NA,"south","north",NA,"57081_CHI_Gamebook_2016.pdf","SF_CHI_2016"
"CIN","PHI","CIN","PHI",NA,"south","south",NA,"57082_CIN_Gamebook_2016.pdf","PHI_CIN_2016"
"GB","HST","GB","HST",NA,"north",NA,NA,"57083_GB_Gamebook_2016.pdf","HST_GB_2016"
"JAX","DEN","JAX","DEN",NA,"north",NA,NA,"57084_JAC_Gamebook_2016.pdf","DEN_JAX_2016"
"NE","LA","LA","NE",NA,"north","north",NA,"57085_NE_Gamebook_2016.pdf","LA_NE_2016"
"NO","DET","DET","NO",NA,"south","south",NA,"57086_NO_Gamebook_2016.pdf","DET_NO_2016"
"OAK","BUF","BUF","OAK",NA,"south","north",NA,"57087_OAK_Gamebook_2016.pdf","BUF_OAK_2016"
"ARZ","WAS","WAS","ARZ",NA,"north",NA,NA,"57088_ARI_Gamebook_2016.pdf","WAS_ARZ_2016"
"PIT","NYG","NYG","PIT",NA,"south","south",NA,"57089_PIT_Gamebook_2016.pdf","NYG_PIT_2016"
"SD","TB","TB","SD",NA,"east","east",NA,"57090_SD_Gamebook_2016.pdf","TB_SD_2016"
"SEA","CAR","SEA","CAR",NA,"north","north",NA,"57091_SEA_Gamebook_2016.pdf","CAR_SEA_2016"
"NYJ","IND","IND","NYJ",NA,"west","west",NA,"57092_NYJ_Gamebook_2016.pdf","IND_NYJ_2016"
"KC","OAK","KC","OAK",NA,"west","east",NA,"57093_KC_Gamebook_2016.pdf","OAK_KC_2016"
"BUF","PIT","BUF","PIT",NA,"east","west",NA,"57094_BUF_Gamebook_2016.pdf","PIT_BUF_2016"
"CAR","SD","CAR","SD",NA,"west","west",NA,"57095_CAR_Gamebook_2016.pdf","SD_CAR_2016"
"CLV","CIN","CLV","CIN",NA,"east","west",NA,"57096_CLE_Gamebook_2016.pdf","CIN_CLV_2016"
"DET","CHI","CHI","DET",NA,"west","west",NA,"57097_DET_Gamebook_2016.pdf","CHI_DET_2016"
"IND","HST","IND","HST",NA,"north","south",NA,"57098_IND_Gamebook_2016.pdf","HST_IND_2016"
"JAX","MIN","JAX","MIN",NA,"north","north",NA,"57099_JAC_Gamebook_2016.pdf","MIN_JAX_2016"
"MIA","ARZ","MIA","ARZ",NA,"east",NA,NA,"57100_MIA_Gamebook_2016.pdf","ARZ_MIA_2016"
"PHI","WAS","WAS","PHI",NA,"north","south",NA,"57101_PHI_Gamebook_2016.pdf","WAS_PHI_2016"
"TB","NO","NO","TB",NA,"north","north",NA,"57102_TB_Gamebook_2016.pdf","NO_TB_2016"
"TEN","DEN","TEN","DEN",NA,"south","north",NA,"57103_TEN_Gamebook_2016.pdf","DEN_TEN_2016"
"SF","NYJ","SF","NYJ","NYJ","north","north","north","57104_SF_Gamebook_2016.pdf","NYJ_SF_2016"
"GB","SEA","SEA","GB",NA,"north",NA,NA,"57105_GB_Gamebook_2016.pdf","SEA_GB_2016"
"LA","ATL","ATL","LA",NA,"east",NA,NA,"57106_LA_Gamebook_2016.pdf","ATL_LA_2016"
"NYG","DAL","DAL","NYG",NA,"south","south",NA,"57107_NYG_Gamebook_2016.pdf","DAL_NYG_2016"
"NE","BAL","BLT","NE",NA,"south","north",NA,"57108_NE_Gamebook_2016.pdf","BAL_NE_2016"
"SEA","LA","SEA","LA",NA,"north","north",NA,"57109_SEA_Gamebook_2016.pdf","LA_SEA_2016"
