"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"DEN","BAL","DEN","BLT",NA,"south","north",NA,"BAL_DEN_2013"
"BUF","NE","BUF","NE",NA,NA,"east",NA,"NE_BUF_2013"
"CAR","SEA","SEA","CAR",NA,"east","east",NA,"SEA_CAR_2013"
"CHI","CIN","CIN","CHI",NA,"north","south",NA,"CIN_CHI_2013"
"CLV","MIA","MIA","CLV",NA,"east","east",NA,"MIA_CLV_2013"
"DET","MIN","MIN","DET",NA,"east","east",NA,"MIN_DET_2013"
"IND","OAK","IND","OAK",NA,"north","north",NA,"OAK_IND_2013"
"JAX","KC","KC","JAX",NA,"north","north",NA,"KC_JAX_2013"
"NO","ATL","NO","ATL",NA,"north","north",NA,"ATL_NO_2013"
"NYJ","TB","NYJ","TB",NA,"east","east",NA,"TB_NYJ_2013"
"PIT","TEN","PIT","TEN",NA,"north","north",NA,"TEN_PIT_2013"
"SL","ARZ","ARZ","SL",NA,"south","north",NA,"ARZ_SL_2013"
"SF","GB","SF","GB",NA,"south","north",NA,"GB_SF_2013"
"DAL","NYG","DAL","NYG",NA,"south","south",NA,"NYG_DAL_2013"
"WAS","PHI","WAS",NA,NA,"west",NA,NA,"PHI_WAS_2013"
"SD","HST","SD","HST",NA,"east","west",NA,"HST_SD_2013"
"NE","NYJ","NYJ","NE",NA,"south","south",NA,"NYJ_NE_2013"
"ATL","SL","SL","ATL",NA,"west","east",NA,"SL_ATL_2013"
"BLT","CLV","CLV","BLT",NA,"east",NA,NA,"CLV_BLT_2013"
"BUF","CAR","BUF","CAR",NA,"west","west",NA,"CAR_BUF_2013"
"CHI","MIN","CHI","MIN",NA,"north","north",NA,"MIN_CHI_2013"
"GB","WAS","WAS","GB",NA,"south","south",NA,"WAS_GB_2013"
"HST","TEN","TEN","HST","TEN","north","north","north","TEN_HST_2013"
"IND","MIA","MIA","IND",NA,"north","south",NA,"MIA_IND_2013"
"KC","DAL","DAL","KC",NA,"east","west",NA,"DAL_KC_2013"
"PHI","SD","SD","PHI",NA,"south","north",NA,"SD_PHI_2013"
"ARZ","DET","ARZ","DET",NA,"south","south",NA,"DET_ARZ_2013"
"TB","NO","TB","NO",NA,"north","north",NA,"NO_TB_2013"
"NYG","DEN","NYG","DEN",NA,"north","north",NA,"DEN_NYG_2013"
"OAK","JAX","OAK","JAX",NA,"north","south",NA,"JAX_OAK_2013"
"SEA","SF","SEA","SF",NA,"north","south",NA,"SF_SEA_2013"
"CIN","PIT","CIN","PIT",NA,"north","north",NA,"PIT_CIN_2013"
"PHI","KC","PHI","KC",NA,"south","north",NA,"KC_PHI_2013"
"BLT","HST","BLT","HST",NA,"east","west",NA,"HST_BLT_2013"
"CIN","GB","GB","CIN",NA,"north","south",NA,"GB_CIN_2013"
"CAR","NYG","CAR","NYG",NA,"east","west",NA,"NYG_CAR_2013"
"DAL","SL","DAL","SL",NA,"south","south",NA,"SL_DAL_2013"
"MIN","CLV","CLV","MIN",NA,"east","north",NA,"CLV_MIN_2013"
"NE","TB","TB","NE",NA,"north","south",NA,"TB_NE_2013"
"NO","ARZ","NO","ARZ",NA,"north","north",NA,"ARZ_NO_2013"
"TEN","SD","SD","TEN",NA,"north","north",NA,"SD_TEN_2013"
"WAS","DET","WAS","DET",NA,"east","west",NA,"DET_WAS_2013"
"MIA","ATL","MIA","ATL",NA,"west","east",NA,"ATL_MIA_2013"
"NYJ","BUF","BUF","NYJ",NA,"west","east",NA,"BUF_NYJ_2013"
"SF","IND","SF","IND",NA,"north","north",NA,"IND_SF_2013"
"SEA","JAX","JAX","SEA",NA,"south","south",NA,"JAX_SEA_2013"
"PIT","CHI","PIT","CHI",NA,"south","south",NA,"CHI_PIT_2013"
"DEN","OAK","DEN","OAK",NA,"south","south",NA,"OAK_DEN_2013"
"SL","SF","SF","SL",NA,"north","north",NA,"SF_SL_2013"
"BUF","BAL","BUF","BLT",NA,"east","east",NA,"BAL_BUF_2013"
"CLV","CIN","CIN","CLV",NA,"west","east",NA,"CIN_CLV_2013"
"DET","CHI","CHI","DET",NA,"west","east",NA,"CHI_DET_2013"
"HST","SEA","SEA","HST","SEA","south","north","north","SEA_HST_2013"
"JAX","IND","JAX","IND",NA,"north","north",NA,"IND_JAX_2013"
"KC","NYG","NYG","KC",NA,"east","west",NA,"NYG_KC_2013"
"MIN","PIT","PIT","MIN",NA,"east",NA,NA,"PIT_MIN_2013"
"TB","ARZ","TB","ARZ",NA,"south","south",NA,"ARZ_TB_2013"
"TEN","NYJ","TEN","NYJ",NA,"south","south",NA,"NYJ_TEN_2013"
"DEN","PHI","DEN","PHI",NA,NA,"south",NA,"PHI_DEN_2013"
"OAK","WAS","OAK","WAS",NA,"south","south",NA,"WAS_OAK_2013"
"SD","DAL","SD","DAL",NA,"east","west",NA,"DAL_SD_2013"
"ATL","NE","NE","ATL",NA,"east","east",NA,"NE_ATL_2013"
"NO","MIA","MIA","NO",NA,"south","south",NA,"MIA_NO_2013"
"CLV","BUF","BUF","CLV",NA,"west","west",NA,"BUF_CLV_2013"
"CHI","NO","NO","CHI",NA,"north","north",NA,"NO_CHI_2013"
"CIN","NE","CIN","NE",NA,"south","north",NA,"NE_CIN_2013"
"GB","DET","GB","DET",NA,"south","south",NA,"DET_GB_2013"
"IND","SEA","SEA","IND",NA,"south","north",NA,"SEA_IND_2013"
"MIA","BAL","BLT","MIA",NA,"west","east",NA,"BAL_MIA_2013"
"NYG","PHI","NYG","PHI",NA,"north","south",NA,"PHI_NYG_2013"
"SL","JAX","SL","JAX",NA,"north","south",NA,"JAX_SL_2013"
"TEN","KC","TEN","KC",NA,"north","south",NA,"KC_TEN_2013"
"ARZ","CAR","CAR","ARZ",NA,"north","north",NA,"CAR_ARZ_2013"
"DAL","DEN","DEN","DAL",NA,"south","south",NA,"DEN_DAL_2013"
"OAK","SD","OAK","SD",NA,"south",NA,NA,"SD_OAK_2013"
"SF","HST","SF","HST",NA,"north","north",NA,"HST_SF_2013"
"ATL","NYJ","NYJ","ATL",NA,"east","east",NA,"NYJ_ATL_2013"
"CHI","NYG","CHI","NYG",NA,"north","south",NA,"NYG_CHI_2013"
"BLT","GB","BLT","GB",NA,"east","west",NA,"GB_BLT_2013"
"BUF","CIN","BUF","CIN","BUF","east","west","east","CIN_BUF_2013"
"CLV","DET","CLV","DET",NA,"east","east",NA,"DET_CLV_2013"
"HST","SL","HST","SL",NA,"north","south",NA,"SL_HST_2013"
"KC","OAK","OAK","KC",NA,"west","east",NA,"OAK_KC_2013"
"MIN","CAR","CAR","MIN",NA,"north",NA,NA,"CAR_MIN_2013"
"NYJ","PIT","NYJ","PIT",NA,"west","west",NA,"PIT_NYJ_2013"
"TB","PHI","TB","PHI",NA,"south","north",NA,"PHI_TB_2013"
"DEN","JAX","DEN","JAX",NA,NA,"south",NA,"JAX_DEN_2013"
"SEA","TEN","SEA","TEN",NA,"north","south",NA,"TEN_SEA_2013"
"NE","NO","NO","NE",NA,"north","north",NA,"NO_NE_2013"
"SF","ARZ","SF","ARZ",NA,"south",NA,NA,"ARZ_SF_2013"
"DAL","WAS","WAS","DAL",NA,"north","south",NA,"WAS_DAL_2013"
"SD","IND","SD","IND",NA,"east","east",NA,"IND_SD_2013"
"ARZ","SEA","SEA","ARZ",NA,"north","north",NA,"SEA_ARZ_2013"
"ATL","TB","TB","ATL",NA,"west","east",NA,"TB_ATL_2013"
"CAR","SL","CAR","SL",NA,"east","west",NA,"SL_CAR_2013"
"DET","CIN","CIN","DET",NA,"east",NA,NA,"CIN_DET_2013"
"JAX","SD","JAX","SD",NA,"north","north",NA,"SD_JAX_2013"
"KC","HST","HST","KC",NA,"east","west",NA,"HST_KC_2013"
"MIA","BUF","BUF","MIA",NA,"west","west",NA,"BUF_MIA_2013"
"NYJ","NE","NE","NYJ","NYJ","east","east","east","NE_NYJ_2013"
"PHI","DAL","DAL","PHI",NA,"north","south",NA,"DAL_PHI_2013"
"WAS","CHI","CHI","WAS",NA,"east","east",NA,"CHI_WAS_2013"
"TEN","SF","SF","TEN",NA,"south","north",NA,"SF_TEN_2013"
"GB","CLV","GB","CLV",NA,"north",NA,NA,"CLV_GB_2013"
