"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"PIT","BAL","BLT","PIT",NA,"south","south",NA,"BAL_PIT_2013"
"IND","DEN","DEN","IND",NA,"north","north",NA,"DEN_IND_2013"
"NYG","MIN","MIN","NYG",NA,"north","north",NA,"MIN_NYG_2013"
"TB","CAR","CAR","TB",NA,"north","south",NA,"CAR_TB_2013"
"DET","DAL","DAL","DET",NA,"east","west",NA,"DAL_DET_2013"
"JAX","SF","JAX","SF",NA,"west",NA,NA,"SF_JAX_2013"
"KC","CLV","CLV","KC",NA,"east","west",NA,"CLV_KC_2013"
"NE","MIA","NE","MIA",NA,"north","south",NA,"MIA_NE_2013"
"NO","BUF","NO","BUF",NA,"north","north",NA,"BUF_NO_2013"
"PHI","NYG","PHI","NYG",NA,"north","south",NA,"NYG_PHI_2013"
"OAK","PIT","PIT","OAK",NA,"south","south",NA,"PIT_OAK_2013"
"CIN","NYJ","NYJ","CIN",NA,"north","south",NA,"NYJ_CIN_2013"
"ARZ","ATL","ARZ","ATL",NA,"north","north",NA,"ATL_ARZ_2013"
"DEN","WAS","DEN","WAS",NA,"south","south",NA,"WAS_DEN_2013"
"MIN","GB","GB","MIN",NA,"north",NA,NA,"GB_MIN_2013"
"SL","SEA","SEA","SL",NA,"north","south",NA,"SEA_SL_2013"
"MIA","CIN","CIN","MIA","CIN","west","west","west","CIN_MIA_2013"
"BUF","KC","BUF","KC",NA,"west","east",NA,"KC_BUF_2013"
"CAR","ATL","ATL","ATL",NA,"east","west",NA,"ATL_CAR_2013"
"DAL","MIN","DAL","MIN",NA,"south","south",NA,"MIN_DAL_2013"
"NYJ","NO","NYJ","NO",NA,"east","east",NA,"NO_NYJ_2013"
"SL","TEN","SL","TEN",NA,"north","south",NA,"TEN_SL_2013"
"WAS","SD","WAS","SD","SD","west","west","east","SD_WAS_2013"
"OAK","PHI","PHI","OAK",NA,"south","north",NA,"PHI_OAK_2013"
"SEA","TB","TB","SEA","SEA","north","north","north","TB_SEA_2013"
"CLV","BAL","BLT","CLV",NA,"east","west",NA,"BAL_CLV_2013"
"NE","PIT","NE","PIT",NA,"north","north",NA,"PIT_NE_2013"
"HST","IND","IND","HST",NA,"south","north",NA,"IND_HST_2013"
"GB","CHI","CHI","GB",NA,"north","south",NA,"CHI_GB_2013"
"MIN","WAS","WAS","MIN",NA,"south","north",NA,"WAS_MIN_2013"
"ATL","SEA","SEA","ATL",NA,"east","east",NA,"SEA_ATL_2013"
"BLT","CIN","CIN","BLT","BLT","east","west","east","CIN_BLT_2013"
"CHI","DET","DET","CHI",NA,"south","north",NA,"DET_CHI_2013"
"GB","PHI","GB","PHI",NA,"south","south",NA,"PHI_GB_2013"
"IND","SL","SL","IND",NA,"north","north",NA,"SL_IND_2013"
"NYG","OAK","OAK","NYG",NA,"north","south",NA,"OAK_NYG_2013"
"PIT","BUF","BUF","PIT",NA,"north","north",NA,"BUF_PIT_2013"
"TEN","JAX","JAX","TEN",NA,"north","south",NA,"JAX_TEN_2013"
"SF","CAR","CAR","SF",NA,"north","south",NA,"CAR_SF_2013"
"ARZ","HST","ARZ","HST",NA,"north","north",NA,"HST_ARZ_2013"
"SD","DEN","DEN","SD",NA,"east","west",NA,"DEN_SD_2013"
"NO","DAL","DAL","NO",NA,"south","south",NA,"DAL_NO_2013"
"TB","MIA","MIA","TB",NA,"south","south",NA,"MIA_TB_2013"
"TEN","IND","IND","TEN",NA,"south","south",NA,"IND_TEN_2013"
"BUF","NYJ","BUF","NYJ",NA,"east","east",NA,"NYJ_BUF_2013"
"CHI","BAL","BLT","CHI","CHI","north","north","south","BAL_CHI_2013"
"CIN","CLV","CLV","CIN",NA,"south","north",NA,"CLV_CIN_2013"
"HST","OAK","OAK","HST",NA,"south","south",NA,"OAK_HST_2013"
"JAX","ARZ","ARZ","JAX",NA,"south","north",NA,"ARZ_JAX_2013"
"MIA","SD","SD","MIA",NA,"west","east",NA,"SD_MIA_2013"
"PHI","WAS","PHI","WAS",NA,"south","north",NA,"WAS_PHI_2013"
"PIT","DET","PIT","DET",NA,"south","north",NA,"DET_PIT_2013"
"TB","ATL","ATL","TB",NA,"south","south",NA,"ATL_TB_2013"
"DEN","KC","DEN","KC",NA,"south","south",NA,"KC_DEN_2013"
"NO","SF","NO","SF",NA,"north","south",NA,"SF_NO_2013"
"SEA","MIN","SEA","MIN",NA,"south","south",NA,"MIN_SEA_2013"
"NYG","GB","GB","NYG",NA,"north","south",NA,"GB_NYG_2013"
"CAR","NE","NE","CAR",NA,"east","east",NA,"NE_CAR_2013"
"ATL","NO","ATL","NO",NA,"east","west",NA,"NO_ATL_2013"
"BLT","NYJ","BLT","NYJ",NA,"east","east",NA,"NYJ_BLT_2013"
"CLV","PIT","CLV","PIT",NA,"east","west",NA,"PIT_CLV_2013"
"DET","TB","TB","DET",NA,"east","east",NA,"TB_DET_2013"
"GB","MIN","MIN","GB","MIN","north","south","north","MIN_GB_2013"
"HST","JAX","HST","JAX",NA,"north","south",NA,"JAX_HST_2013"
"KC","SD","SD","KC",NA,"west","west",NA,"SD_KC_2013"
"MIA","CAR","CAR","MIA",NA,"east",NA,NA,"CAR_MIA_2013"
"SL","CHI","CHI","SL",NA,"north","south",NA,"CHI_SL_2013"
"ARZ","IND","IND","ARZ",NA,NA,NA,NA,"IND_ARZ_2013"
"OAK","TEN","TEN","OAK",NA,"south",NA,NA,"TEN_OAK_2013"
"NYG","DAL","NYG","DAL",NA,"south","north",NA,"DAL_NYG_2013"
"NE","DEN","NE","DEN","DEN","north","north","north","DEN_NE_2013"
"WAS","SF","SF","WAS",NA,"east","west",NA,"SF_WAS_2013"
"DET","GB","GB","DET",NA,"east","east",NA,"GB_DET_2013"
"DAL","OAK","OAK",NA,NA,"north",NA,NA,"OAK_DAL_2013"
"BLT","PIT","BLT","PIT",NA,"east","east",NA,"PIT_BLT_2013"
"CAR","TB","TB","CAR",NA,"west","east",NA,"TB_CAR_2013"
"CLV","JAX","CLV","JAX",NA,"east","west",NA,"JAX_CLV_2013"
"IND","TEN","TEN","IND",NA,"north","north",NA,"TEN_IND_2013"
"KC","DEN","DEN","KC",NA,"east","west",NA,"DEN_KC_2013"
"MIN","CHI","CHI","MIN","MIN","north",NA,"south","CHI_MIN_2013"
"NYJ","MIA","NYJ","MIA",NA,"east","west",NA,"MIA_NYJ_2013"
"PHI","ARZ","PHI","ARZ",NA,NA,"north",NA,"ARZ_PHI_2013"
"BUF","ATL","BUF","ATL","ATL","south","south","north","ATL_BUF_2013"
"SF","SL","SF","SL",NA,"south","north",NA,"SL_SF_2013"
"HST","NE","NE","HST",NA,"north","north",NA,"NE_HST_2013"
"SD","CIN","CIN","SD",NA,"east","west",NA,"CIN_SD_2013"
"WAS","NYG","NYG","WAS",NA,"west","east",NA,"NYG_WAS_2013"
"SEA","NO","SEA","NO",NA,"north","north",NA,"NO_SEA_2013"
"JAX","HST","HST","JAX",NA,"south","south",NA,"HST_JAX_2013"
"BLT","MIN","MIN","BLT",NA,"west","west",NA,"MIN_BLT_2013"
"CIN","IND","CIN","IND",NA,"south","south",NA,"IND_CIN_2013"
"NE","CLV","NE","CLV",NA,"north","north",NA,"CLV_NE_2013"
"NYJ","OAK","OAK","NYJ",NA,"east","east",NA,"OAK_NYJ_2013"
"NO","CAR","NO","CAR",NA,"south","south",NA,"CAR_NO_2013"
"PHI","DET","PHI","DET",NA,"north","south",NA,"DET_PHI_2013"
"PIT","MIA","MIA","PIT",NA,"south","south",NA,"MIA_PIT_2013"
"TB","BUF","BUF","TB",NA,"south","south",NA,"BUF_TB_2013"
"WAS","KC","WAS","KC",NA,"east","east",NA,"KC_WAS_2013"
"DEN","TEN","DEN","TEN",NA,NA,"north",NA,"TEN_DEN_2013"
"ARZ","SL","SL","ARZ",NA,"north","north",NA,"SL_ARZ_2013"
"SD","NYG","SD","NYG",NA,"west","east",NA,"NYG_SD_2013"
"SF","SEA","SF","SEA",NA,"north","north",NA,"SEA_SF_2013"
"GB","ATL","GB","ATL",NA,"south","north",NA,"ATL_GB_2013"
"CHI","DAL","CHI","DAL",NA,"south","north",NA,"DAL_CHI_2013"
"DEN","SD","SD","DEN",NA,NA,"south",NA,"SD_DEN_2013"
"ATL","WAS","WAS","ATL",NA,"west","east",NA,"WAS_ATL_2013"
"CLV","CHI","CLV","CHI",NA,"east","west",NA,"CHI_CLV_2013"
"IND","HST","HST","IND",NA,"south","north",NA,"HST_IND_2013"
"JAX","BUF","BUF","JAX",NA,"north","north",NA,"BUF_JAX_2013"
"MIA","NE","NE","MIA",NA,"east","west",NA,"NE_MIA_2013"
"MIN","PHI","PHI","MIN",NA,"east","south",NA,"PHI_MIN_2013"
"NYG","SEA","NYG","SEA",NA,"north","south",NA,"SEA_NYG_2013"
"SL","NO","NO","SL",NA,"north","south",NA,"NO_SL_2013"
"TB","SF","SF","TB",NA,"south","south",NA,"SF_TB_2013"
"TEN","ARZ","TEN","ARZ","ARZ","north","south","south","ARZ_TEN_2013"
"CAR","NYJ","NYJ","CAR",NA,"west","east",NA,"NYJ_CAR_2013"
"OAK","KC","OAK","KC",NA,"south","north",NA,"KC_OAK_2013"
"DAL","GB","GB","DAL",NA,"south","north",NA,"GB_DAL_2013"
"PIT","CIN","CIN","PIT",NA,"north","north",NA,"CIN_PIT_2013"
"DET","BAL","BLT","DET",NA,"west","east",NA,"BAL_DET_2013"
"BUF","MIA","BUF","MIA",NA,"south","south",NA,"MIA_BUF_2013"
"CAR","NO","NO","CAR",NA,"west","east",NA,"NO_CAR_2013"
"CIN","MIN","CIN","MIN",NA,"north","north",NA,"MIN_CIN_2013"
"HST","DEN","DEN","HST",NA,"south","south",NA,"DEN_HST_2013"
"JAX","TEN","TEN","JAX",NA,"north","south",NA,"TEN_JAX_2013"
"KC","IND","KC","IND",NA,"east","west",NA,"IND_KC_2013"
"NYJ","CLV","NYJ","CLV",NA,"east","west",NA,"CLV_NYJ_2013"
"PHI","CHI","PHI","CHI",NA,"south","north",NA,"CHI_PHI_2013"
"SL","TB","SL","TB",NA,"north","south",NA,"TB_SL_2013"
"WAS","DAL","DAL","WAS",NA,"east","west",NA,"DAL_WAS_2013"
"DET","NYG","NYG","DET","DET","east","east","east","NYG_DET_2013"
"SEA","ARZ","SEA","ARZ",NA,"north","south",NA,"ARZ_SEA_2013"
"GB","PIT","PIT","GB",NA,"south","north",NA,"PIT_GB_2013"
"SD","OAK","SD","OAK",NA,"east","west",NA,"OAK_SD_2013"
"BLT","NE","BLT","NE",NA,"east","west",NA,"NE_BLT_2013"
"SF","ATL","SF","ATL",NA,"south","north",NA,"ATL_SF_2013"
"ATL","CAR","CAR","ATL",NA,"west","east",NA,"CAR_ATL_2013"
"CHI","GB","GB","CHI",NA,"south","north",NA,"GB_CHI_2013"
"CIN","BAL","BLT","CIN",NA,"north","south",NA,"BAL_CIN_2013"
"DAL","PHI","PHI","DAL",NA,"north","south",NA,"PHI_DAL_2013"
"IND","JAX","IND","JAX",NA,"north","north",NA,"JAX_IND_2013"
"MIA","NYJ","NYJ","MIA",NA,"west","east",NA,"NYJ_MIA_2013"
"MIN","DET","DET","MIN",NA,"east","north",NA,"DET_MIN_2013"
"NE","BUF","BUF","NE",NA,"south","north",NA,"BUF_NE_2013"
"NO","TB","TB","NO",NA,"north","south",NA,"TB_NO_2013"
"NYG","WAS","NYG","WAS",NA,"south","south",NA,"WAS_NYG_2013"
"PIT","CLV","PIT","CLV",NA,"north","north",NA,"CLV_PIT_2013"
"TEN","HST","TEN","HST",NA,"south","south",NA,"HST_TEN_2013"
"ARZ","SF","SF","ARZ",NA,NA,"north",NA,"SF_ARZ_2013"
"OAK","DEN","DEN","OAK",NA,"south","south",NA,"DEN_OAK_2013"
"SD","KC","SD","KC","KC",NA,"east","west","KC_SD_2013"
"SEA","SL","SL","SEA",NA,"north","north",NA,"SL_SEA_2013"
