"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"NE","PIT","NE","PIT",NA,"north","north",NA,"PIT_NE_2015"
"BUF","IND","BUF","IND",NA,"west","west",NA,"IND_BUF_2015"
"CHI","GB","GB","CHI",NA,"south","north",NA,"GB_CHI_2015"
"HST","KC","HST","KC",NA,"north","north",NA,"KC_HST_2015"
"JAX","CAR","CAR","JAX",NA,"south","south",NA,"CAR_JAX_2015"
"NYJ","CLV","CLV","NYJ",NA,"east","east",NA,"CLV_NYJ_2015"
"SL","SEA","SL","SEA","SEA","north","north","north","SEA_SL_2015"
"WAS","MIA","MIA","WAS",NA,"east","west",NA,"MIA_WAS_2015"
"ARZ","NO","NO","ARZ",NA,"south","south",NA,"NO_ARZ_2015"
"SD","DET","SD","DET",NA,"east","east",NA,"DET_SD_2015"
"DEN","BAL","DEN","BLT",NA,NA,"north",NA,"BAL_DEN_2015"
"OAK","CIN","CIN","OAK",NA,"south","south",NA,"CIN_OAK_2015"
"TB","TEN","TB","TEN",NA,"north","north",NA,"TEN_TB_2015"
"DAL","NYG","NYG","DAL",NA,"north","north",NA,"NYG_DAL_2015"
"ATL","PHI","ATL","PHI",NA,"east","west",NA,"PHI_ATL_2015"
"SF","MIN","MIN","SF",NA,"north","south",NA,"MIN_SF_2015"
"KC","DEN","KC","DEN",NA,"east","west",NA,"DEN_KC_2015"
"BUF","NE","NE","BUF",NA,"east","west",NA,"NE_BUF_2015"
"CAR","HST","HST","CAR",NA,"east","west",NA,"HST_CAR_2015"
"CHI","ARZ","CHI","ARZ",NA,"north","north",NA,"ARZ_CHI_2015"
"CIN","SD","SD","CIN",NA,"south","north",NA,"SD_CIN_2015"
"CLV","TEN","CLV","TEN",NA,"west","east",NA,"TEN_CLV_2015"
"MIN","DET","DET","MIN",NA,"east",NA,NA,"DET_MIN_2015"
"NO","TB","TB","NO",NA,"south","north",NA,"TB_NO_2015"
"NYG","ATL","NYG","ATL",NA,"south","north",NA,"ATL_NYG_2015"
"PIT","SF","SF","PIT",NA,"north","north",NA,"SF_PIT_2015"
"WAS","SL","WAS","SL",NA,"west","east",NA,"SL_WAS_2015"
"JAX","MIA","MIA","JAX",NA,"south","north",NA,"MIA_JAX_2015"
"OAK","BAL","BLT","OAK",NA,"south","south",NA,"BAL_OAK_2015"
"PHI","DAL","PHI","DAL",NA,"south","north",NA,"DAL_PHI_2015"
"GB","SEA","SEA","GB",NA,"north",NA,NA,"SEA_GB_2015"
"IND","NYJ","IND","NYJ",NA,"north","north",NA,"NYJ_IND_2015"
"NYG","WAS","NYG","WAS",NA,"north","north",NA,"WAS_NYG_2015"
"BLT","CIN","CIN","BLT",NA,"west","west",NA,"CIN_BLT_2015"
"CAR","NO","CAR","NO",NA,"east","west",NA,"NO_CAR_2015"
"CLV","OAK","CLV","OAK",NA,"west","east",NA,"OAK_CLV_2015"
"DAL","ATL","ATL","DAL",NA,"south","south",NA,"ATL_DAL_2015"
"HST","TB","TB","HST",NA,"south","north",NA,"TB_HST_2015"
"MIN","SD","SD","MIN",NA,"west",NA,NA,"SD_MIN_2015"
"NE","JAX","NE","JAX",NA,"north","north",NA,"JAX_NE_2015"
"NYJ","PHI","PHI","NYJ",NA,"east","west",NA,"PHI_NYJ_2015"
"SL","PIT","SL","PIT",NA,"south","north",NA,"PIT_SL_2015"
"TEN","IND","IND","TEN",NA,"south","south",NA,"IND_TEN_2015"
"ARZ","SF","SF","ARZ",NA,"north","north",NA,"SF_ARZ_2015"
"MIA","BUF","BUF","MIA",NA,"west","east",NA,"BUF_MIA_2015"
"SEA","CHI","SEA","CHI",NA,"north","north",NA,"CHI_SEA_2015"
"DET","DEN","DEN","DET",NA,"east","west",NA,"DEN_DET_2015"
"GB","KC","KC","GB",NA,"south",NA,NA,"KC_GB_2015"
"PIT","BAL","BLT","PIT","BLT","south","south","south","BAL_PIT_2015"
"MIA","NYJ","NYJ","MIA",NA,"east",NA,NA,"NYJ_MIA_2015"
"ATL","HST","HST","ATL",NA,"west","east",NA,"HST_ATL_2015"
"BUF","NYG","NYG","BUF",NA,"west","west",NA,"NYG_BUF_2015"
"CHI","OAK","OAK","CHI",NA,"north","north",NA,"OAK_CHI_2015"
"CIN","KC","KC","CIN",NA,"south","north",NA,"KC_CIN_2015"
"IND","JAX","JAX","IND","IND","north","south","north","JAX_IND_2015"
"TB","CAR","CAR","TB",NA,"north","south",NA,"CAR_TB_2015"
"WAS","PHI","PHI","WAS",NA,"east","west",NA,"PHI_WAS_2015"
"SD","CLV","SD","CLV",NA,"east","west",NA,"CLV_SD_2015"
"ARZ","SL","SL","ARZ",NA,"north","north",NA,"SL_ARZ_2015"
"DEN","MIN","DEN","MIN",NA,NA,"south",NA,"MIN_DEN_2015"
"SF","GB","SF","GB",NA,"south","north",NA,"GB_SF_2015"
"NO","DAL","DAL","NO","DAL","south","north","south","DAL_NO_2015"
"SEA","DET","SEA","DET",NA,"north","north",NA,"DET_SEA_2015"
"HST","IND","IND","HST",NA,"south","north",NA,"IND_HST_2015"
"ATL","WAS","ATL","WAS","ATL","east","east","east","WAS_ATL_2015"
"BLT","CLV","CLV","BLT","CLV","east","west","west","CLV_BLT_2015"
"CIN","SEA","SEA","CIN","CIN","south","north","south","SEA_CIN_2015"
"GB","SL","GB","SL",NA,"north","south",NA,"SL_GB_2015"
"KC","CHI","KC","CHI",NA,"west","east",NA,"CHI_KC_2015"
"PHI","NO","NO","PHI",NA,NA,"north",NA,"NO_PHI_2015"
"TB","JAX","JAX","TB",NA,"north","south",NA,"JAX_TB_2015"
"TEN","BUF","BUF","TEN",NA,"south","north",NA,"BUF_TEN_2015"
"DET","ARZ","ARZ","DET",NA,"east","east",NA,"ARZ_DET_2015"
"DAL","NE","NE","DAL",NA,"north","south",NA,"NE_DAL_2015"
"OAK","DEN","DEN","OAK",NA,"south","north",NA,"DEN_OAK_2015"
"NYG","SF","NYG","SF",NA,"north","south",NA,"SF_NYG_2015"
"SD","PIT","SD","PIT",NA,"east","west",NA,"PIT_SD_2015"
"NO","ATL","ATL","NO",NA,"north","north",NA,"ATL_NO_2015"
"BUF","CIN","CIN","BUF",NA,"east","west",NA,"CIN_BUF_2015"
"CLV","DEN","CLV","DEN","CLV","east","west","east","DEN_CLV_2015"
"DET","CHI","CHI","DET","CHI","east","east","east","CHI_DET_2015"
"JAX","HST","JAX","HST",NA,"south","north",NA,"HST_JAX_2015"
"MIN","KC","KC","MIN",NA,"east",NA,NA,"KC_MIN_2015"
"NYJ","WAS","NYJ","WAS",NA,"east","west",NA,"WAS_NYJ_2015"
"PIT","ARZ","PIT","ARZ",NA,"south","north",NA,"ARZ_PIT_2015"
"TEN","MIA","TEN","MIA",NA,"south","south",NA,"MIA_TEN_2015"
"SEA","CAR","CAR","SEA",NA,"south","north",NA,"CAR_SEA_2015"
"GB","SD","GB","SD",NA,"north",NA,NA,"SD_GB_2015"
"SF","BAL","BAL","SF",NA,"south","south",NA,"BAL_SF_2015"
"IND","NE","NE","IND",NA,"north","north",NA,"NE_IND_2015"
"PHI","NYG","PHI","NYG",NA,"south","north",NA,"NYG_PHI_2015"
"SF","SEA","SEA","SF",NA,"south","south",NA,"SEA_SF_2015"
"JAX","BUF","JAX","BUF",NA,"east",NA,NA,"BUF_JAX_2015"
"DET","MIN","MIN","DET",NA,"west","west",NA,"MIN_DET_2015"
"IND","NO","IND","NO",NA,"north","north",NA,"NO_IND_2015"
"KC","PIT","KC","PIT",NA,"west","east",NA,"PIT_KC_2015"
"MIA","HST","MIA","HST",NA,"west","west",NA,"HST_MIA_2015"
"NE","NYJ","NE","NYJ",NA,"north","south",NA,"NYJ_NE_2015"
"SL","CLV","CLV","SL",NA,"south","north",NA,"CLV_SL_2015"
"TEN","ATL","ATL","TEN",NA,"north","north",NA,"ATL_TEN_2015"
"WAS","TB","TB","WAS",NA,"east","west",NA,"TB_WAS_2015"
"SD","OAK","OAK","SD",NA,"east","west",NA,"OAK_SD_2015"
"NYG","DAL","DAL","NYG",NA,"north","north",NA,"DAL_NYG_2015"
