,home_team,away_team,season.x,def_team_q1,def_team_q3,def_direction_q1,def_direction_q3,game_id.x,home_team_off_direction1,home_team_off_direction3,home_team_off_direction2,home_team_off_direction4,away_team_off_direction1,away_team_off_direction3,away_team_off_direction2,away_team_off_direction4,game_id.y,game_type,week,gameday,weekday,gametime,away_score,home_score,location,roof,surface,stadium.y,n,ws,wd,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,wind_compass
157,WAS,SF,2017,SF,WAS,east,west,SF_WAS_2017,east,east,west,west,west,west,east,east,2017_06_SF_WAS,REG,6,10/15/17,Sunday,13:00,24,26,Home,outdoors,grass,FedExField,7,10.68571429,205.7158724,WAS,Outdoor,-76.864444,38.907778,295,S
158,CHI,GB,2018,GB,CHI,south,,GB_CHI_2018,south,NA,north,NA,north,NA,south,NA,2018_15_GB_CHI,REG,15,12/16/18,Sunday,13:00,17,24,Home,outdoors,grass,Soldier Field,6,10.685,263.3295631,CHI,Outdoor,-87.6167,41.8623,353.9,E
159,SF,DAL,2017,SF,DAL,north,south,DAL_SF_2017,south,south,north,north,north,north,south,south,2017_07_DAL_SF,REG,7,10/22/17,Sunday,16:05,40,10,Home,outdoors,grass,Levi's Stadium,12,10.66583333,295.7029906,SF,Outdoor,-121.97,37.403,330,E
160,BAL,PIT,2016,BAL,PIT,east,east,PIT_BLT_2016,west,east,east,west,east,west,west,east,2016_09_PIT_BAL,REG,9,11/6/16,Sunday,13:00,14,21,Home,outdoors,grass,M&T Bank Stadium,6,10.56333333,333.3980641,BAL,Outdoor,-76.622778,39.278056,289.5,N
161,GB,SEA,2017,GB,SEA,north,,SEA_GB_2017,south,NA,north,NA,north,NA,south,NA,2017_01_SEA_GB,REG,1,9/10/17,Sunday,16:25,9,17,Home,outdoors,grass,Lambeau Field,6,10.53333333,156.6704369,GB,Outdoor,-88.062222,44.501389,0,S
162,BUF,TEN,2018,BUF,TEN,east,west,TEN_BUF_2018,west,west,east,east,east,east,west,west,2018_05_TEN_BUF,REG,5,10/7/18,Sunday,13:00,12,13,Home,outdoors,a_turf,New Era Field,6,10.53,46.65344186,BUF,Outdoor,-78.787,42.774,302.1,W
163,MIA,BAL,2019,MIA,BAL,east,west,BAL_MIA_2019,west,west,east,east,east,east,west,west,2019_01_BAL_MIA,REG,1,9/8/19,Sunday,13:00,59,10,Home,outdoors,grass,Hard Rock Stadium,6,10.52166667,121.6961245,MIA,Outdoor,-80.238889,25.958056,302.1,W
164,KC,TB,2016,TB,KC,west,east,TB_KC_2016,west,west,east,east,east,east,west,west,2016_11_TB_KC,REG,11,11/20/16,Sunday,13:00,19,17,Home,outdoors,grass,Arrowhead Stadium,6,10.5,132.9648503,KC,Outdoor,-94.483889,39.048889,316.3,W
165,PHI,NYG,2016,PHI,NYG,north,south,NYG_PHI_2016,south,south,north,north,north,north,south,south,2016_16_NYG_PHI,REG,16,12/22/16,Thursday,20:25,19,24,Home,outdoors,grass,Lincoln Financial Field,6,10.5,277.0508281,PHI,Outdoor,-75.1675,39.900833,351,E
166,TB,PHI,2018,PHI,TB,north,south,PHI_TB_2018,north,north,south,south,south,south,north,north,2018_02_PHI_TB,REG,2,9/16/18,Sunday,13:00,21,27,Home,outdoors,grass,Raymond James Stadium,7,10.5,225.7410384,TB,Outdoor,-82.503333,27.975833,0,E
167,SF,TEN,2017,TEN,SF,north,south,TEN_SF_2017,north,north,south,south,south,south,north,north,2017_15_TEN_SF,REG,15,12/17/17,Sunday,16:25,23,25,Home,outdoors,grass,Levi's Stadium,9,10.48777778,317.3611803,SF,Outdoor,-121.97,37.403,330,N
168,CLE,BAL,2018,CLE,BAL,west,east,BAL_CLI_2018,east,east,west,west,west,west,east,east,2018_05_BAL_CLE,REG,5,10/7/18,Sunday,13:00,9,12,Home,outdoors,grass,FirstEnergy Stadium,7,10.47285714,31.43034733,CLE,Outdoor,-81.699444,41.506111,56.1,N
169,CLE,CIN,2017,CIN,CLE,east,west,CIN_CLI_2017,east,east,west,west,west,west,east,east,2017_04_CIN_CLE,REG,4,10/1/17,Sunday,13:00,31,7,Home,outdoors,grass,FirstEnergy Stadium,6,10.40833333,41.72432662,CLE,Outdoor,-81.699444,41.506111,56.1,N
170,LA,LAC,2018,LAC,LA,west,,LAC_LA_2018,west,NA,east,NA,east,NA,west,NA,2018_03_LAC_LA,REG,3,9/23/18,Sunday,16:05,23,35,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,10.37666667,250.0511574,LAR,Outdoor,-118.287778,34.014167,90,E
171,SEA,GB,2018,GB,SEA,north,south,GB_SEA_2018,north,north,south,south,south,south,north,north,2018_11_GB_SEA,REG,11,11/15/18,Thursday,20:20,24,27,Home,outdoors,fieldturf,CenturyLink Field,6,10.37666667,165,SEA,Outdoor,-122.3316,47.5952,0,S
172,BUF,JAX,2016,BUF,JAX,west,east,JAX_BUF_2016,east,east,west,west,west,west,east,east,2016_12_JAX_BUF,REG,12,11/27/16,Sunday,13:00,21,28,Home,outdoors,a_turf,New Era Field,6,10.36833333,271.7049533,BUF,Outdoor,-78.787,42.774,302.1,E
173,CIN,BAL,2017,BAL,CIN,south,north,BAL_CIN_2017,south,south,north,north,north,north,south,south,2017_01_BAL_CIN,REG,1,9/10/17,Sunday,13:00,20,0,Home,outdoors,fieldturf,Paul Brown Stadium,6,10.34666667,53.2777945,CIN,Outdoor,-84.516,39.095,320.6,W
174,LA,NYG,2016,LA,NYG,south,,NYG_LA_2016,north,NA,south,NA,south,NA,north,NA,2016_07_NYG_LA,REG,7,10/23/16,Sunday,9:30,17,10,Neutral,outdoors,grass,Twickenham Stadium,6,10.31333333,71.67043694,Twickenham,Outdoor,-0.341667,51.456111,324.8,W
175,CHI,DET,2019,CHI,DET,north,,DET_CHI_2019,south,NA,north,NA,north,NA,south,NA,2019_10_DET_CHI,REG,10,11/10/19,Sunday,13:00,13,20,Home,outdoors,grass,Soldier Field,7,10.31285714,18.60096844,CHI,Outdoor,-87.6167,41.8623,353.9,N
176,SEA,SF,2017,SF,SEA,south,south,SF_SEA_2017,south,north,north,south,north,south,south,north,2017_02_SF_SEA,REG,2,9/17/17,Sunday,16:25,9,12,Home,outdoors,fieldturf,CenturyLink Field,8,10.26875,166.0327286,SEA,Outdoor,-122.3316,47.5952,0,S
177,SF,SEA,2018,SEA,SF,north,south,SEA_SF_2018,north,north,south,south,south,south,north,north,2018_15_SEA_SF,REG,15,12/16/18,Sunday,16:05,23,26,Home,outdoors,grass,Levi's Stadium,11,10.21363636,153.6764527,SF,Outdoor,-121.97,37.403,330,S
178,NYJ,LA,2016,NYJ,LA,east,,LA_NYJ_2016,west,NA,east,NA,east,NA,west,NA,2016_10_LA_NYJ,REG,10,11/13/16,Sunday,13:00,9,6,Home,outdoors,fieldturf,MetLife Stadium,6,10.19,240,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,E
179,KC,DEN,2018,KC,DEN,east,west,DEN_KC_2018,west,west,east,east,east,east,west,west,2018_08_DEN_KC,REG,8,10/28/18,Sunday,13:00,23,30,Home,outdoors,grass,Arrowhead Stadium,7,10.18428571,304.2649861,KC,Outdoor,-94.483889,39.048889,316.3,E
