,home_team,away_team,season.x,def_team_q1,def_team_q3,def_direction_q1,def_direction_q3,game_id.x,home_team_off_direction1,home_team_off_direction3,home_team_off_direction2,home_team_off_direction4,away_team_off_direction1,away_team_off_direction3,away_team_off_direction2,away_team_off_direction4,game_id.y,game_type,week,gameday,weekday,gametime,away_score,home_score,location,roof,surface,stadium.y,n,ws,wd,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,wind_compass
220,SF,ATL,2019,SF,ATL,north,south,ATL_SF_2019,south,south,north,north,north,north,south,south,2019_15_ATL_SF,REG,15,12/15/19,Sunday,16:25,29,22,Home,outdoors,grass,Levi's Stadium,10,9.482,307.2164977,SF,Outdoor,-121.97,37.403,330,E
221,BUF,NE,2018,BUF,NE,west,east,NE_BUF_2018,east,east,west,west,west,west,east,east,2018_08_NE_BUF,REG,8,10/29/18,Monday,20:15,25,6,Home,outdoors,a_turf,New Era Field,6,9.413333333,268.2612379,BUF,Outdoor,-78.787,42.774,302.1,E
222,SF,LA,2016,SF,LA,north,north,LA_SF_2016,south,north,north,south,north,south,south,north,2016_01_LA_SF,REG,1,9/12/16,Monday,22:20,0,28,Home,outdoors,grass,Levi's Stadium,6,9.413333333,238.8428838,SF,Outdoor,-121.97,37.403,330,E
223,NYJ,NE,2018,NE,NYJ,south,north,NE_NYJ_2018,south,south,north,north,north,north,south,south,2018_12_NE_NYJ,REG,12,11/25/18,Sunday,13:00,27,13,Home,outdoors,fieldturf,MetLife Stadium,6,9.405,341.6002962,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,N
224,BUF,JAX,2018,JAX,BUF,west,west,JAX_BUF_2018,west,east,east,west,east,west,west,east,2018_12_JAX_BUF,REG,12,11/25/18,Sunday,13:00,21,24,Home,outdoors,a_turf,New Era Field,7,9.382857143,250,BUF,Outdoor,-78.787,42.774,302.1,E
225,BAL,HOU,2019,BAL,HOU,west,,HST_BLT_2019,east,NA,west,NA,west,NA,east,NA,2019_11_HOU_BAL,REG,11,11/17/19,Sunday,13:00,7,41,Home,outdoors,grass,M&T Bank Stadium,6,9.381666667,44.97422352,BAL,Outdoor,-76.622778,39.278056,289.5,N
226,TB,HOU,2019,HOU,TB,south,north,HST_TB_2019,south,south,north,north,north,north,south,south,2019_16_HOU_TB,REG,16,12/21/19,Saturday,13:00,23,20,Home,outdoors,grass,Raymond James Stadium,7,9.365714286,88.55704917,TB,Outdoor,-82.503333,27.975833,0,W
227,NYG,BAL,2016,NYG,BAL,north,north,BAL_NYG_2016,south,north,north,south,north,south,south,north,2016_06_BAL_NYG,REG,6,10/16/16,Sunday,13:00,23,27,Home,outdoors,fieldturf,MetLife Stadium,7,9.355714286,202.7886981,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,S
228,PIT,KC,2018,KC,PIT,south,north,KC_PIT_2018,south,south,north,north,north,north,south,south,2018_02_KC_PIT,REG,2,9/16/18,Sunday,13:00,42,37,Home,outdoors,grass,Heinz Field,7,9.354285714,111.3417335,PIT,Outdoor,-80.015833,40.446667,333.9,W
229,PIT,BAL,2017,PIT,BAL,south,north,BAL_PIT_2017,north,north,south,south,south,south,north,north,2017_14_BAL_PIT,REG,14,12/10/17,Sunday,20:30,38,39,Home,outdoors,grass,Heinz Field,6,9.23,234.9744859,PIT,Outdoor,-80.015833,40.446667,333.9,E
230,CLE,ATL,2018,ATL,CLE,west,west,ATL_CLI_2018,west,east,east,west,east,west,west,east,2018_10_ATL_CLE,REG,10,11/11/18,Sunday,13:00,16,28,Home,outdoors,grass,FirstEnergy Stadium,6,9.228333333,200,CLE,Outdoor,-81.699444,41.506111,56.1,S
231,CHI,ATL,2017,CHI,ATL,south,south,ATL_CHI_2017,north,south,south,north,south,north,north,south,2017_01_ATL_CHI,REG,1,9/10/17,Sunday,13:00,23,17,Home,outdoors,grass,Soldier Field,6,9.225,103.3980641,CHI,Outdoor,-87.6167,41.8623,353.9,W
232,PHI,NYG,2018,PHI,NYG,north,south,NYG_PHI_2018,south,south,north,north,north,north,south,south,2018_12_NYG_PHI,REG,12,11/25/18,Sunday,13:00,22,25,Home,outdoors,grass,Lincoln Financial Field,12,9.2125,289.3288198,PHI,Outdoor,-75.1675,39.900833,351,E
233,LA,SEA,2019,LA,SEA,east,east,SEA_LA_2019,west,east,east,west,east,west,west,east,2019_14_SEA_LA,REG,14,12/8/19,Sunday,20:20,12,28,Home,outdoors,grass,Los Angeles Memorial Coliseum,1,9.2,260,LAR,Outdoor,-118.287778,34.014167,90,E
234,BAL,BUF,2016,BUF,BAL,east,east,BUF_BLT_2016,east,west,west,east,west,east,east,west,2016_01_BUF_BAL,REG,1,9/11/16,Sunday,13:00,7,13,Home,outdoors,grass,M&T Bank Stadium,6,9.196666667,316.6534419,BAL,Outdoor,-76.622778,39.278056,289.5,N
235,TB,NYJ,2017,TB,NYJ,north,north,NYJ_TB_2017,south,north,north,south,north,south,south,north,2017_10_NYJ_TB,REG,10,11/12/17,Sunday,13:00,10,15,Home,outdoors,grass,Raymond James Stadium,7,9.195714286,74.29652835,TB,Outdoor,-82.503333,27.975833,0,W
236,CHI,LAC,2019,CHI,LAC,south,,LAC_CHI_2019,north,NA,south,NA,south,NA,north,NA,2019_08_LAC_CHI,REG,8,10/27/19,Sunday,13:00,17,16,Home,outdoors,grass,Soldier Field,6,9.195,238.9971736,CHI,Outdoor,-87.6167,41.8623,353.9,E
237,NYJ,NYG,2019,NYG,NYJ,south,south,NYG_NYJ_2019,south,north,north,south,north,south,south,north,2019_10_NYG_NYJ,REG,10,11/10/19,Sunday,13:00,27,34,Home,outdoors,fieldturf,MetLife Stadium,7,9.062857143,222.8147875,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,S
238,TB,NYG,2019,NYG,TB,south,south,NYG_TB_2019,south,north,north,south,north,south,south,north,2019_03_NYG_TB,REG,3,9/22/19,Sunday,16:05,32,31,Home,outdoors,grass,Raymond James Stadium,6,9.041666667,74.79114129,TB,Outdoor,-82.503333,27.975833,0,W
239,WAS,PHI,2019,PHI,WAS,west,west,PHI_WAS_2019,west,east,east,west,east,west,west,east,2019_15_PHI_WAS,REG,15,12/15/19,Sunday,13:00,37,27,Home,outdoors,grass,FedExField,7,9.037142857,299.5030512,WAS,Outdoor,-76.864444,38.907778,295,E
240,CLE,BUF,2019,BUF,CLE,east,west,BUF_CLI_2019,east,east,west,west,west,west,east,east,2019_10_BUF_CLE,REG,10,11/10/19,Sunday,13:00,16,19,Home,outdoors,grass,FirstEnergy Stadium,7,9.034285714,302.750554,CLE,Outdoor,-81.699444,41.506111,56.1,E
241,NYG,GB,2019,GB,NYG,north,south,GB_NYG_2019,north,north,south,south,south,south,north,north,2019_13_GB_NYG,REG,13,12/1/19,Sunday,13:00,31,13,Home,outdoors,fieldturf,MetLife Stadium,6,9.011666667,51.84445156,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,W
242,PIT,NYG,2016,NYG,PIT,south,south,NYG_PIT_2016,south,north,north,south,north,south,south,north,2016_13_NYG_PIT,REG,13,12/4/16,Sunday,16:25,14,24,Home,outdoors,grass,Heinz Field,6,9.01,96.68751868,PIT,Outdoor,-80.015833,40.446667,333.9,W
243,SEA,NO,2019,NO,SEA,south,north,NO_SEA_2019,south,south,north,north,north,north,south,south,2019_03_NO_SEA,REG,3,9/22/19,Sunday,16:25,33,27,Home,outdoors,fieldturf,CenturyLink Field,8,8.98,163.8193106,SEA,Outdoor,-122.3316,47.5952,0,S
244,TB,IND,2019,IND,TB,north,north,IND_TB_2019,north,south,south,north,south,north,north,south,2019_14_IND_TB,REG,14,12/8/19,Sunday,13:00,35,38,Home,outdoors,grass,Raymond James Stadium,5,8.972,134.2144888,TB,Outdoor,-82.503333,27.975833,0,W
245,GB,NO,2017,NO,GB,south,,NO_GB_2017,south,NA,north,NA,north,NA,south,NA,2017_07_NO_GB,REG,7,10/22/17,Sunday,13:00,26,17,Home,outdoors,grass,Lambeau Field,4,8.9625,290.4888574,GB,Outdoor,-88.062222,44.501389,0,E
246,SEA,ATL,2017,SEA,ATL,north,south,ATL_SEA_2017,south,south,north,north,north,north,south,south,2017_11_ATL_SEA,REG,11,11/20/17,Monday,20:30,34,31,Home,outdoors,fieldturf,CenturyLink Field,3,8.886666667,56.67043694,SEA,Outdoor,-122.3316,47.5952,0,W
247,PHI,SF,2017,PHI,SF,south,south,SF_PHI_2017,north,south,south,north,south,north,north,south,2017_08_SF_PHI,REG,8,10/29/17,Sunday,13:00,10,33,Home,outdoors,grass,Lincoln Financial Field,12,8.885833333,123.345275,PHI,Outdoor,-75.1675,39.900833,351,W
248,CIN,IND,2017,CIN,IND,north,south,IND_CIN_2017,south,south,north,north,north,north,south,south,2017_08_IND_CIN,REG,8,10/29/17,Sunday,13:00,23,24,Home,outdoors,fieldturf,Paul Brown Stadium,7,8.875714286,286.9577842,CIN,Outdoor,-84.516,39.095,320.6,E
249,NYJ,BUF,2018,NYJ,BUF,south,south,BUF_NYJ_2018,north,south,south,north,south,north,north,south,2018_10_BUF_NYJ,REG,10,11/11/18,Sunday,13:00,41,10,Home,outdoors,fieldturf,MetLife Stadium,7,8.867142857,288.7609449,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,E
250,PIT,IND,2019,IND,PIT,south,north,IND_PIT_2019,south,south,north,north,north,north,south,south,2019_09_IND_PIT,REG,9,11/3/19,Sunday,13:00,24,26,Home,outdoors,grass,Heinz Field,7,8.84,268.3158455,PIT,Outdoor,-80.015833,40.446667,333.9,E
251,DEN,CLE,2019,CLE,DEN,south,,CLI_DEN_2019,south,NA,north,NA,north,NA,south,NA,2019_09_CLE_DEN,REG,9,11/3/19,Sunday,16:25,19,24,Home,outdoors,grass,Empower Field at Mile High,6,8.826666667,343.6953509,DEN,Outdoor,-105.02,39.743889,0,N
252,DEN,KC,2019,KC,DEN,north,,KC_DEN_2019,north,NA,south,NA,south,NA,north,NA,2019_07_KC_DEN,REG,7,10/17/19,Thursday,20:20,30,6,Home,outdoors,grass,Empower Field at Mile High,6,8.826666667,224.1313897,DEN,Outdoor,-105.02,39.743889,0,S
253,NYG,WAS,2018,NYG,WAS,south,south,WAS_NYG_2018,north,south,south,north,south,north,north,south,2018_08_WAS_NYG,REG,8,10/28/18,Sunday,13:00,20,13,Home,outdoors,fieldturf,MetLife Stadium,6,8.825,260,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,E
254,KC,LAC,2018,KC,LAC,west,east,LAC_KC_2018,east,east,west,west,west,west,east,east,2018_15_LAC_KC,REG,15,12/13/18,Thursday,20:20,29,28,Home,outdoors,grass,Arrowhead Stadium,6,8.823333333,341.6704369,KC,Outdoor,-94.483889,39.048889,316.3,N
255,NE,HOU,2018,HOU,NE,north,south,HST_NE_2018,north,north,south,south,south,south,north,north,2018_01_HOU_NE,REG,1,9/9/18,Sunday,13:00,20,27,Home,outdoors,fieldturf,Gillette Stadium,12,8.809166667,45.82900254,NE,Outdoor,-71.264,42.091,343,W
256,TEN,BUF,2019,BUF,TEN,north,north,BUF_TEN_2019,north,south,south,north,south,north,north,south,2019_05_BUF_TEN,REG,5,10/6/19,Sunday,13:00,14,7,Home,outdoors,grass,Nissan Stadium,5,8.786,180.3829761,TEN,Outdoor,-86.771389,36.166389,334.6,S
257,SEA,CIN,2019,SEA,CIN,north,south,CIN_SEA_2019,south,south,north,north,north,north,south,south,2019_01_CIN_SEA,REG,1,9/8/19,Sunday,16:05,20,21,Home,outdoors,fieldturf,CenturyLink Field,10,8.775,193.0807449,SEA,Outdoor,-122.3316,47.5952,0,S
258,SF,LA,2018,SF,LA,north,north,LA_SF_2018,south,north,north,south,north,south,south,north,2018_07_LA_SF,REG,7,10/21/18,Sunday,16:25,39,10,Home,outdoors,grass,Levi's Stadium,12,8.750833333,308.4427823,SF,Outdoor,-121.97,37.403,330,E
259,CAR,BAL,2018,CAR,BAL,east,west,BAL_CAR_2018,west,west,east,east,east,east,west,west,2018_08_BAL_CAR,REG,8,10/28/18,Sunday,13:00,21,36,Home,outdoors,grass,Bank of America Stadium,7,8.744285714,228.5444182,CAR,Outdoor,-80.852778,35.225833,322.4,E
260,CHI,PIT,2017,CHI,PIT,south,south,PIT_CHI_2017,north,south,south,north,south,north,north,south,2017_03_PIT_CHI,REG,3,9/24/17,Sunday,13:00,17,23,Home,outdoors,grass,Soldier Field,7,8.742857143,175.0694885,CHI,Outdoor,-87.6167,41.8623,353.9,S
261,NYG,NO,2016,NYG,NO,south,south,NO_NYG_2016,north,south,south,north,south,north,north,south,2016_02_NO_NYG,REG,2,9/18/16,Sunday,13:00,13,16,Home,outdoors,fieldturf,MetLife Stadium,7,8.718571429,198.1270402,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,S
262,TEN,NYJ,2018,NYJ,TEN,north,south,NYJ_TEN_2018,north,north,south,south,south,south,north,north,2018_13_NYJ_TEN,REG,13,12/2/18,Sunday,16:05,22,26,Home,outdoors,grass,Nissan Stadium,6,8.668333333,251.3074014,TEN,Outdoor,-86.771389,36.166389,334.6,E
263,BAL,TB,2018,BAL,TB,west,west,TB_BLT_2018,east,west,west,east,west,east,east,west,2018_15_TB_BAL,REG,15,12/16/18,Sunday,13:00,12,20,Home,outdoors,grass,M&T Bank Stadium,6,8.638333333,340.1039094,BAL,Outdoor,-76.622778,39.278056,289.5,N
264,KC,DEN,2019,KC,DEN,west,east,DEN_KC_2019,east,east,west,west,west,west,east,east,2019_15_DEN_KC,REG,15,12/15/19,Sunday,13:00,3,23,Home,outdoors,astroturf,Arrowhead Stadium,6,8.638333333,58.32100025,KC,Outdoor,-94.483889,39.048889,316.3,W
265,TB,NO,2018,NO,TB,south,north,NO_TB_2018,south,south,north,north,north,north,south,south,2018_14_NO_TB,REG,14,12/9/18,Sunday,13:00,28,14,Home,outdoors,grass,Raymond James Stadium,7,8.557142857,250.0946942,TB,Outdoor,-82.503333,27.975833,0,E
266,NE,LAC,2017,NE,LAC,north,north,LAC_NE_2017,south,north,north,south,north,south,south,north,2017_08_LAC_NE,REG,8,10/29/17,Sunday,13:00,13,21,Home,outdoors,fieldturf,Gillette Stadium,11,8.547272727,106.4599807,NE,Outdoor,-71.264,42.091,343,W
267,PHI,WAS,2019,PHI,WAS,north,south,WAS_PHI_2019,south,south,north,north,north,north,south,south,2019_01_WAS_PHI,REG,1,9/8/19,Sunday,13:00,27,32,Home,outdoors,grass,Lincoln Financial Field,11,8.507272727,268.6452794,PHI,Outdoor,-75.1675,39.900833,351,E
268,SF,ARI,2017,SF,ARI,north,south,ARZ_SF_2017,south,south,north,north,north,north,south,south,2017_09_ARI_SF,REG,9,11/5/17,Sunday,16:05,20,10,Home,outdoors,grass,Levi's Stadium,12,8.461666667,289.7348904,SF,Outdoor,-121.97,37.403,330,E
269,CHI,SF,2017,CHI,SF,south,south,SF_CHI_2017,north,south,south,north,south,north,north,south,2017_13_SF_CHI,REG,13,12/3/17,Sunday,13:00,15,14,Home,outdoors,grass,Soldier Field,6,8.451666667,181.395265,CHI,Outdoor,-87.6167,41.8623,353.9,S
270,PIT,TEN,2017,TEN,PIT,north,north,TEN_PIT_2017,north,south,south,north,south,north,north,south,2017_11_TEN_PIT,REG,11,11/16/17,Thursday,20:25,17,40,Home,outdoors,grass,Heinz Field,6,8.451666667,269.9488426,PIT,Outdoor,-80.015833,40.446667,333.9,E
271,SEA,MIA,2016,MIA,SEA,north,north,MIA_SEA_2016,north,south,south,north,south,north,north,south,2016_01_MIA_SEA,REG,1,9/11/16,Sunday,16:05,10,12,Home,outdoors,fieldturf,CenturyLink Field,6,8.45,306.5842333,SEA,Outdoor,-122.3316,47.5952,0,E
272,TEN,MIN,2016,MIN,TEN,north,south,MIN_TEN_2016,north,north,south,south,south,south,north,north,2016_01_MIN_TEN,REG,1,9/11/16,Sunday,13:00,25,21,Home,outdoors,grass,Nissan Stadium,6,8.45,40,TEN,Outdoor,-86.771389,36.166389,334.6,N
273,CLE,MIN,2017,CLE,MIN,east,,MIN_CLI_2017,west,NA,east,NA,east,NA,west,NA,2017_08_MIN_CLE,REG,8,10/29/17,Sunday,21:30,33,16,Neutral,outdoors,grass,Twickenham Stadium,6,8.448333333,5.102835362,Twickenham,Outdoor,-0.341667,51.456111,324.8,N
274,SF,SEA,2017,SF,SEA,north,south,SEA_SF_2017,south,south,north,north,north,north,south,south,2017_12_SEA_SF,REG,12,11/26/17,Sunday,16:05,24,13,Home,outdoors,grass,Levi's Stadium,10,8.414,185.8310807,SF,Outdoor,-121.97,37.403,330,S
275,WAS,NYG,2018,NYG,WAS,west,west,NYG_WAS_2018,west,east,east,west,east,west,west,east,2018_14_NYG_WAS,REG,14,12/9/18,Sunday,13:00,40,16,Home,outdoors,grass,FedExField,7,8.4,25.74103836,WAS,Outdoor,-76.864444,38.907778,295,N
276,WAS,DEN,2017,WAS,DEN,east,west,DEN_WAS_2017,west,west,east,east,east,east,west,west,2017_16_DEN_WAS,REG,16,12/24/17,Sunday,13:00,11,27,Home,outdoors,grass,FedExField,7,8.398571429,71.68415445,WAS,Outdoor,-76.864444,38.907778,295,W
277,BAL,CLE,2019,BAL,CLE,east,east,CLI_BLT_2019,west,east,east,west,east,west,west,east,2019_04_CLE_BAL,REG,4,9/29/19,Sunday,13:00,40,25,Home,outdoors,grass,M&T Bank Stadium,7,8.397142857,75.50058439,BAL,Outdoor,-76.622778,39.278056,289.5,W
278,KC,SF,2018,KC,SF,east,west,SF_KC_2018,west,west,east,east,east,east,west,west,2018_03_SF_KC,REG,3,9/23/18,Sunday,13:00,27,38,Home,outdoors,grass,Arrowhead Stadium,7,8.397142857,116.3794583,KC,Outdoor,-94.483889,39.048889,316.3,W
279,PIT,CLE,2019,PIT,CLE,south,north,CLI_PIT_2019,north,north,south,south,south,south,north,north,2019_13_CLE_PIT,REG,13,12/1/19,Sunday,13:00,13,20,Home,outdoors,grass,Heinz Field,7,8.397142857,119.0432339,PIT,Outdoor,-80.015833,40.446667,333.9,W
280,MIA,JAX,2018,JAX,MIA,west,,JAX_MIA_2018,west,NA,east,NA,east,NA,west,NA,2018_16_JAX_MIA,REG,16,12/23/18,Sunday,13:00,17,7,Home,outdoors,grass,Hard Rock Stadium,5,8.304,59.52795966,MIA,Outdoor,-80.238889,25.958056,302.1,W
281,NYJ,BUF,2016,NYJ,BUF,east,west,BUF_NYJ_2016,west,west,east,east,east,east,west,west,2016_17_BUF_NYJ,REG,17,1/1/17,Sunday,13:00,10,30,Home,outdoors,fieldturf,MetLife Stadium,6,8.296666667,309.9488426,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,E
282,LA,CAR,2016,CAR,LA,west,,CAR_LA_2016,west,NA,east,NA,east,NA,west,NA,2016_09_CAR_LA,REG,9,11/6/16,Sunday,16:05,13,10,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,8.266666667,255,LAR,Outdoor,-118.287778,34.014167,90,E
283,TB,NE,2017,TB,NE,north,south,NE_TB_2017,south,south,north,north,north,north,south,south,2017_05_NE_TB,REG,5,10/5/17,Thursday,20:25,19,14,Home,outdoors,grass,Raymond James Stadium,6,8.266666667,51.67043694,TB,Outdoor,-82.503333,27.975833,0,W
284,GB,CIN,2017,GB,CIN,north,,CIN_GB_2017,south,NA,north,NA,north,NA,south,NA,2017_03_CIN_GB,REG,3,9/24/17,Sunday,16:25,24,27,Home,outdoors,grass,Lambeau Field,6,8.265,181.4143519,GB,Outdoor,-88.062222,44.501389,0,S
285,LA,SEA,2016,SEA,LA,west,,SEA_LA_2016,west,NA,east,NA,east,NA,west,NA,2016_02_SEA_LA,REG,2,9/18/16,Sunday,16:05,3,9,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,8.265,269.9485782,LAR,Outdoor,-118.287778,34.014167,90,E
286,NYG,WAS,2016,WAS,NYG,south,north,WAS_NYG_2016,south,south,north,north,north,north,south,south,2016_03_WAS_NYG,REG,3,9/25/16,Sunday,13:00,29,27,Home,outdoors,fieldturf,MetLife Stadium,6,8.263333333,352.656389,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,N
287,PIT,CLE,2018,PIT,CLE,north,north,CLI_PIT_2018,south,north,north,south,north,south,south,north,2018_08_CLE_PIT,REG,8,10/28/18,Sunday,13:00,18,33,Home,outdoors,grass,Heinz Field,7,8.238571429,196.9171806,PIT,Outdoor,-80.015833,40.446667,333.9,S
288,WAS,GB,2018,GB,WAS,west,east,GB_WAS_2018,west,west,east,east,east,east,west,west,2018_03_GB_WAS,REG,3,9/23/18,Sunday,13:00,17,31,Home,outdoors,grass,FedExField,7,8.238571429,57.2513104,WAS,Outdoor,-76.864444,38.907778,295,W
289,GB,MIN,2018,MIN,GB,north,,MIN_GB_2018,north,NA,south,NA,south,NA,north,NA,2018_02_MIN_GB,REG,2,9/16/18,Sunday,13:00,29,29,Home,outdoors,grass,Lambeau Field,7,8.237142857,168.2174447,GB,Outdoor,-88.062222,44.501389,0,S
290,TB,DEN,2016,DEN,TB,south,north,DEN_TB_2016,south,south,north,north,north,north,south,south,2016_04_DEN_TB,REG,4,10/2/16,Sunday,16:05,27,7,Home,outdoors,grass,Raymond James Stadium,7,8.23,354.1094212,TB,Outdoor,-82.503333,27.975833,0,N
291,KC,BAL,2019,BAL,KC,east,east,BAL_KC_2019,east,west,west,east,west,east,east,west,2019_03_BAL_KC,REG,3,9/22/19,Sunday,13:00,28,33,Home,outdoors,astroturf,Arrowhead Stadium,7,8.228571429,194.9480962,KC,Outdoor,-94.483889,39.048889,316.3,S
292,BUF,MIA,2017,MIA,BUF,west,east,MIA_BUF_2017,west,west,east,east,east,east,west,west,2017_15_MIA_BUF,REG,15,12/17/17,Sunday,13:00,16,24,Home,outdoors,a_turf,New Era Field,7,8.221428571,51.43662145,BUF,Outdoor,-78.787,42.774,302.1,W
293,TB,CHI,2017,CHI,TB,south,south,CHI_TB_2017,south,north,north,south,north,south,south,north,2017_02_CHI_TB,REG,2,9/17/17,Sunday,13:00,7,29,Home,outdoors,grass,Raymond James Stadium,6,8.11,356.8074246,TB,Outdoor,-82.503333,27.975833,0,N
294,BAL,DEN,2018,DEN,BAL,east,west,DEN_BLT_2018,east,east,west,west,west,west,east,east,2018_03_DEN_BAL,REG,3,9/23/18,Sunday,13:00,14,27,Home,outdoors,grass,M&T Bank Stadium,7,8.08,53.36152966,BAL,Outdoor,-76.622778,39.278056,289.5,W
295,NE,KC,2018,KC,NE,south,north,KC_NE_2018,south,south,north,north,north,north,south,south,2018_06_KC_NE,REG,6,10/14/18,Sunday,20:20,40,43,Home,outdoors,fieldturf,Gillette Stadium,6,8.08,253.3124813,NE,Outdoor,-71.264,42.091,343,E
296,PIT,GB,2017,GB,PIT,north,north,GB_PIT_2017,north,south,south,north,south,north,north,south,2017_12_GB_PIT,REG,12,11/26/17,Sunday,20:30,28,31,Home,outdoors,grass,Heinz Field,6,8.08,231.661961,PIT,Outdoor,-80.015833,40.446667,333.9,E
297,BUF,PIT,2016,BUF,PIT,east,west,PIT_BUF_2016,west,west,east,east,east,east,west,west,2016_14_PIT_BUF,REG,14,12/11/16,Sunday,13:00,27,20,Home,outdoors,a_turf,New Era Field,7,8.078571429,151.3732657,BUF,Outdoor,-78.787,42.774,302.1,S
298,CHI,DET,2016,DET,CHI,south,south,DET_CHI_2016,south,north,north,south,north,south,south,north,2016_04_DET_CHI,REG,4,10/2/16,Sunday,13:00,14,17,Home,outdoors,grass,Soldier Field,7,8.078571429,319.3087937,CHI,Outdoor,-87.6167,41.8623,353.9,N
299,CHI,NO,2019,NO,CHI,north,,NO_CHI_2019,north,NA,south,NA,south,NA,north,NA,2019_07_NO_CHI,REG,7,10/20/19,Sunday,16:25,36,25,Home,outdoors,grass,Soldier Field,6,8.078333333,84.97448591,CHI,Outdoor,-87.6167,41.8623,353.9,W
300,CIN,CLE,2017,CIN,CLE,south,south,CLI_CIN_2017,north,south,south,north,south,north,north,south,2017_12_CLE_CIN,REG,12,11/26/17,Sunday,13:00,16,30,Home,outdoors,fieldturf,Paul Brown Stadium,6,8.078333333,246.7222055,CIN,Outdoor,-84.516,39.095,320.6,E
301,KC,ARI,2018,ARI,KC,east,west,ARZ_KC_2018,east,east,west,west,west,west,east,east,2018_10_ARI_KC,REG,10,11/11/18,Sunday,13:00,14,26,Home,outdoors,grass,Arrowhead Stadium,4,8.0775,2.270283089,KC,Outdoor,-94.483889,39.048889,316.3,N
302,KC,PIT,2017,KC,PIT,west,east,PIT_KC_2017,east,east,west,west,west,west,east,east,2017_06_PIT_KC,REG,6,10/15/17,Sunday,16:25,19,13,Home,outdoors,grass,Arrowhead Stadium,6,8.068333333,298.4248253,KC,Outdoor,-94.483889,39.048889,316.3,E
303,NE,MIA,2018,NE,MIA,north,north,MIA_NE_2018,south,north,north,south,north,south,south,north,2018_04_MIA_NE,REG,4,9/30/18,Sunday,13:00,7,38,Home,outdoors,fieldturf,Gillette Stadium,12,8.068333333,258.4707975,NE,Outdoor,-71.264,42.091,343,E
304,SF,LA,2019,SF,LA,south,north,LA_SF_2019,north,north,south,south,south,south,north,north,2019_16_LA_SF,REG,16,12/21/19,Saturday,20:15,31,34,Home,outdoors,grass,Levi's Stadium,9,8.042222222,149.2245751,SF,Outdoor,-121.97,37.403,330,S
305,NE,IND,2018,IND,NE,south,north,IND_NE_2018,south,south,north,north,north,north,south,south,2018_05_IND_NE,REG,5,10/4/18,Thursday,20:20,24,38,Home,outdoors,fieldturf,Gillette Stadium,8,8,232.0226069,NE,Outdoor,-71.264,42.091,343,E
306,TB,ATL,2019,TB,ATL,north,south,ATL_TB_2019,south,south,north,north,north,north,south,south,2019_17_ATL_TB,REG,17,12/29/19,Sunday,13:00,28,22,Home,outdoors,grass,Raymond James Stadium,7,7.917142857,185.117689,TB,Outdoor,-82.503333,27.975833,0,S
307,LA,GB,2018,LA,GB,east,,GB_LA_2018,west,NA,east,NA,east,NA,west,NA,2018_08_GB_LA,REG,8,10/28/18,Sunday,16:25,27,29,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,7.891666667,259.8441485,LAR,Outdoor,-118.287778,34.014167,90,E
308,LA,SEA,2017,LA,SEA,east,,SEA_LA_2017,west,NA,east,NA,east,NA,west,NA,2017_05_SEA_LA,REG,5,10/8/17,Sunday,16:05,16,10,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,7.891666667,146.3879834,LAR,Outdoor,-118.287778,34.014167,90,S
309,CAR,ATL,2016,CAR,ATL,west,west,ATL_CAR_2016,east,west,west,east,west,east,east,west,2016_16_ATL_CAR,REG,16,12/24/16,Saturday,13:00,33,16,Home,outdoors,grass,Bank of America Stadium,6,7.89,224.6254149,CAR,Outdoor,-80.852778,35.225833,322.4,S
310,BAL,CLE,2017,BAL,CLE,east,,CLI_BLT_2017,west,NA,east,NA,east,NA,west,NA,2017_02_CLE_BAL,REG,2,9/17/17,Sunday,13:00,10,24,Home,outdoors,grass,M&T Bank Stadium,7,7.882857143,88.81523859,BAL,Outdoor,-76.622778,39.278056,289.5,W
311,CIN,ARI,2019,CIN,ARI,south,,ARZ_CIN_2019,north,NA,south,NA,south,NA,north,NA,2019_05_ARI_CIN,REG,5,10/6/19,Sunday,13:00,26,23,Home,outdoors,grass,Paul Brown Stadium,7,7.784285714,274.2333776,CIN,Outdoor,-84.516,39.095,320.6,E
312,KC,JAX,2016,KC,JAX,east,west,JAX_KC_2016,west,west,east,east,east,east,west,west,2016_09_JAX_KC,REG,9,11/6/16,Sunday,13:00,14,19,Home,outdoors,grass,Arrowhead Stadium,7,7.76,148.5243324,KC,Outdoor,-94.483889,39.048889,316.3,S
